Timestamp,Eye State,Score
2023-10-10 11:29:11,0,0
2023-10-10 11:29:11,1,1
2023-10-10 11:29:12,1,2
2023-10-10 11:29:13,1,3
2023-10-10 11:29:13,0,2
2023-10-10 11:29:14,1,3
2023-10-10 11:29:14,0,2
2023-10-10 11:29:15,1,3
2023-10-10 11:29:15,0,2
2023-10-10 11:29:16,0,1
2023-10-10 11:29:16,0,0
2023-10-10 11:29:17,0,0
2023-10-10 11:29:18,0,0
2023-10-10 11:29:18,0,0
2023-10-10 11:29:19,0,0
2023-10-10 11:29:19,0,0
2023-10-10 11:29:20,0,0
2023-10-10 11:29:21,0,0
2023-10-10 11:29:21,1,1
2023-10-10 11:29:22,1,2
2023-10-10 11:29:22,0,1
2023-10-10 11:29:22,0,0
2023-10-10 11:29:23,0,0
2023-10-10 11:29:23,0,0
2023-10-10 11:29:23,0,0
2023-10-10 11:29:23,0,0
2023-10-10 11:29:24,0,0
2023-10-10 11:29:24,0,0
2023-10-10 11:29:24,0,0
2023-10-10 11:29:24,0,0
2023-10-10 11:29:25,0,0
2023-10-10 11:29:25,0,0
2023-10-10 11:29:25,0,0
2023-10-10 11:29:26,0,0
2023-10-10 11:29:27,1,1
2023-10-10 11:29:27,1,2
2023-10-10 11:29:28,1,3
2023-10-10 11:29:28,1,4
2023-10-10 11:29:29,1,5
2023-10-10 11:29:29,1,6
2023-10-10 11:29:30,1,7
2023-10-10 11:29:31,1,8
2023-10-10 11:29:31,1,9
2023-10-10 11:29:32,1,10
2023-10-10 11:29:33,1,11
2023-10-10 11:29:33,1,12
2023-10-10 11:29:34,1,13
2023-10-10 11:29:34,1,14
2023-10-10 11:29:35,1,15
2023-10-10 11:29:35,1,16
2023-10-10 11:29:36,1,17
2023-10-10 11:29:37,1,18
2023-10-10 11:29:37,1,19
2023-10-10 11:29:38,1,20
2023-10-10 11:29:38,1,19
2023-10-10 11:29:39,1,20
2023-10-10 11:29:40,1,19
2023-10-10 11:29:40,1,20
2023-10-10 11:29:41,1,19
2023-10-10 11:29:41,1,20
2023-10-10 11:29:42,1,19
2023-10-10 11:29:43,1,20
2023-10-10 11:29:43,0,19
2023-10-10 11:29:44,1,20
2023-10-10 11:29:44,0,19
2023-10-10 11:29:44,0,18
2023-10-10 11:29:45,0,17
2023-10-10 11:29:45,0,16
2023-10-10 11:29:45,0,15
2023-10-10 11:29:45,0,14
2023-10-10 11:29:46,0,13
2023-10-10 11:29:46,1,14
2023-10-10 11:29:47,0,13
2023-10-10 11:29:47,0,12
2023-10-10 11:29:47,0,11
2023-10-10 11:29:48,1,12
2023-10-10 11:29:49,1,13
2023-10-10 11:29:49,1,14
2023-10-10 11:29:49,0,13
2023-10-10 11:29:50,0,12
2023-10-10 11:29:50,0,11
2023-10-10 11:29:50,0,10
2023-10-10 11:29:51,0,9
2023-10-10 11:29:51,0,8
2023-10-10 11:29:52,0,7
2023-10-10 11:29:53,1,8
2023-10-10 11:29:53,1,9
2023-10-10 11:29:54,1,10
2023-10-10 11:29:54,1,11
