Timestamp,Eye State,Score
2023-10-11 14:56:34,0,0
2023-10-11 14:56:35,0,0
2023-10-11 14:56:35,0,0
2023-10-11 14:56:36,0,0
2023-10-11 14:56:36,0,0
2023-10-11 14:56:37,0,0
2023-10-11 14:56:37,1,1
2023-10-11 14:56:38,0,0
2023-10-11 14:56:39,0,0
2023-10-11 14:56:39,0,0
2023-10-11 14:56:39,0,0
2023-10-11 14:56:39,0,0
2023-10-11 14:56:40,0,0
2023-10-11 14:56:41,1,1
2023-10-11 14:56:41,1,2
2023-10-11 14:56:42,1,3
2023-10-11 14:56:43,1,4
2023-10-11 14:56:43,0,3
2023-10-11 14:56:44,1,4
2023-10-11 14:56:44,1,5
2023-10-11 14:56:45,1,6
2023-10-11 14:56:46,1,7
2023-10-11 14:56:46,0,6
2023-10-11 14:56:47,0,5
2023-10-11 14:56:47,0,4
2023-10-11 14:56:48,0,3
2023-10-11 14:56:48,1,4
2023-10-11 14:56:49,1,5
2023-10-11 14:56:50,1,6
2023-10-11 14:56:50,0,5
2023-10-11 14:56:51,0,4
2023-10-11 14:56:51,0,3
2023-10-11 14:56:52,1,4
2023-10-11 14:56:52,1,5
2023-10-11 14:56:53,1,6
2023-10-11 14:56:53,0,5
2023-10-11 14:56:54,0,4
2023-10-11 14:56:54,1,5
2023-10-11 14:56:55,1,6
2023-10-11 14:56:55,0,5
2023-10-11 14:56:55,0,4
2023-10-11 14:56:56,1,5
2023-10-11 14:56:56,1,6
2023-10-11 14:56:57,0,5
2023-10-11 14:56:57,0,4
2023-10-11 14:56:58,0,3
2023-10-11 14:56:59,1,4
2023-10-11 14:56:59,0,3
2023-10-11 14:57:00,0,2
2023-10-11 14:57:00,1,3
2023-10-11 14:57:01,1,4
2023-10-11 14:57:01,0,3
2023-10-11 14:57:02,1,4
2023-10-11 14:57:02,0,3
2023-10-11 14:57:02,1,4
