Timestamp,Eye State,Score
2023-10-10 11:06:47,0,0
2023-10-10 11:06:48,1,1
2023-10-10 11:06:48,1,2
2023-10-10 11:06:48,1,3
2023-10-10 11:06:49,1,4
2023-10-10 11:06:49,1,5
2023-10-10 11:06:50,0,4
2023-10-10 11:06:50,0,3
2023-10-10 11:06:51,0,2
2023-10-10 11:06:51,0,1
2023-10-10 11:06:52,1,2
2023-10-10 11:06:52,1,3
2023-10-10 11:06:53,1,4
2023-10-10 11:06:53,0,3
2023-10-10 11:06:53,0,2
2023-10-10 11:06:54,0,1
2023-10-10 11:06:54,0,0
2023-10-10 11:06:55,1,1
2023-10-10 11:06:55,1,2
2023-10-10 11:06:56,1,3
2023-10-10 11:06:56,1,4
2023-10-10 11:06:56,1,5
2023-10-10 11:06:57,1,6
2023-10-10 11:06:57,1,7
2023-10-10 11:06:58,1,8
2023-10-10 11:06:58,1,9
2023-10-10 11:06:59,1,10
2023-10-10 11:06:59,1,11
2023-10-10 11:07:00,1,12
2023-10-10 11:07:00,1,13
2023-10-10 11:07:00,1,14
2023-10-10 11:07:01,1,15
2023-10-10 11:07:01,1,16
2023-10-10 11:07:02,1,17
2023-10-10 11:07:02,1,18
2023-10-10 11:07:03,1,19
2023-10-10 11:07:03,1,20
2023-10-10 11:07:04,0,19
2023-10-10 11:07:04,1,20
2023-10-10 11:07:05,1,19
2023-10-10 11:07:05,0,18
2023-10-10 11:07:06,1,19
2023-10-10 11:07:06,0,18
2023-10-10 11:07:06,0,17
2023-10-10 11:07:07,0,16
2023-10-10 11:07:07,0,15
2023-10-10 11:07:08,0,14
2023-10-10 11:07:08,0,13
2023-10-10 11:07:09,0,12
2023-10-10 11:07:09,1,13
2023-10-10 11:07:10,1,14
2023-10-10 11:07:10,1,15
2023-10-10 11:07:10,0,14
2023-10-10 11:07:11,1,15
2023-10-10 11:07:11,1,16
2023-10-10 11:07:12,1,17
2023-10-10 11:07:12,1,18
2023-10-10 11:07:13,1,19
2023-10-10 11:07:13,0,18
2023-10-10 11:07:14,0,17
2023-10-10 11:07:14,0,16
2023-10-10 11:07:15,0,15
2023-10-10 11:07:15,0,14
2023-10-10 11:07:16,0,13
2023-10-10 11:07:16,0,12
2023-10-10 11:07:16,0,11
2023-10-10 11:07:17,0,10
2023-10-10 11:07:17,0,9
2023-10-10 11:07:18,0,8
2023-10-10 11:07:18,0,7
2023-10-10 11:07:19,0,6
2023-10-10 11:07:19,0,5
2023-10-10 11:07:20,0,4
2023-10-10 11:07:20,0,3
2023-10-10 11:07:21,0,2
2023-10-10 11:07:21,1,3
2023-10-10 11:07:21,1,4
