Timestamp,Eye State,Score,Blink Rate
2023-10-11 14:28:21,0,0,5.714285714285714
2023-10-11 14:28:21,1,1,8.571428571428571
2023-10-11 14:28:22,0,0,8.181818181818182
2023-10-11 14:28:22,0,0,8.181818181818182
2023-10-11 14:28:22,1,1,10.90909090909091
2023-10-11 14:28:23,1,2,10.434782608695652
2023-10-11 14:28:23,1,3,10.434782608695652
2023-10-11 14:28:24,1,4,10.0
2023-10-11 14:28:24,1,5,10.0
2023-10-11 14:28:24,1,6,10.0
2023-10-11 14:28:25,0,5,9.6
2023-10-11 14:28:25,1,6,9.6
2023-10-11 14:28:26,1,7,9.23076923076923
2023-10-11 14:28:26,1,8,9.23076923076923
2023-10-11 14:28:27,0,7,8.88888888888889
2023-10-11 14:28:27,0,6,8.88888888888889
2023-10-11 14:28:27,0,5,8.88888888888889
2023-10-11 14:28:28,0,4,8.571428571428571
2023-10-11 14:28:28,0,3,8.571428571428571
2023-10-11 14:28:29,0,2,8.275862068965518
2023-10-11 14:28:29,1,3,8.275862068965518
2023-10-11 14:28:30,0,2,8.0
2023-10-11 14:28:30,1,3,8.0
2023-10-11 14:28:31,1,4,7.741935483870967
2023-10-11 14:28:31,1,5,7.741935483870967
2023-10-11 14:28:32,1,6,7.5
2023-10-11 14:28:32,1,7,7.5
2023-10-11 14:28:33,1,8,7.2727272727272725
2023-10-11 14:28:33,1,9,7.2727272727272725
2023-10-11 14:28:33,1,10,7.2727272727272725
2023-10-11 14:28:34,1,11,7.0588235294117645
2023-10-11 14:28:34,0,10,7.0588235294117645
2023-10-11 14:28:35,0,9,6.857142857142857
2023-10-11 14:28:35,0,8,6.857142857142857
2023-10-11 14:28:36,0,7,6.666666666666667
2023-10-11 14:28:36,0,6,6.666666666666667
2023-10-11 14:28:37,0,5,6.486486486486486
2023-10-11 14:28:37,0,4,6.486486486486486
2023-10-11 14:28:38,0,3,6.315789473684211
2023-10-11 14:28:38,0,2,6.315789473684211
2023-10-11 14:28:39,0,1,6.153846153846153
2023-10-11 14:28:39,0,0,6.153846153846153
2023-10-11 14:28:40,0,0,6.0
2023-10-11 14:28:40,0,0,6.0
2023-10-11 14:28:40,0,0,6.0
2023-10-11 14:28:41,0,0,5.853658536585366
2023-10-11 14:28:41,0,0,5.853658536585366
2023-10-11 14:28:42,1,1,7.142857142857143
2023-10-11 14:28:42,1,2,7.142857142857143
2023-10-11 14:28:43,1,3,6.976744186046512
2023-10-11 14:28:43,1,4,6.976744186046512
2023-10-11 14:28:44,0,3,6.818181818181818
2023-10-11 14:28:44,0,2,6.818181818181818
2023-10-11 14:28:45,0,1,6.666666666666667
2023-10-11 14:28:45,0,0,6.666666666666667
2023-10-11 14:28:45,0,0,6.666666666666667
2023-10-11 14:28:46,0,0,6.521739130434782
2023-10-11 14:28:46,1,1,7.826086956521738
2023-10-11 14:28:47,0,0,7.659574468085107
2023-10-11 14:28:47,1,1,8.936170212765958
2023-10-11 14:28:47,1,2,8.936170212765958
2023-10-11 14:28:48,1,3,8.75
2023-10-11 14:28:48,0,2,8.75
2023-10-11 14:28:49,1,3,8.571428571428571
2023-10-11 14:28:49,1,4,8.571428571428571
2023-10-11 14:28:50,1,5,8.4
2023-10-11 14:28:50,0,4,8.4
2023-10-11 14:28:50,1,5,8.4
2023-10-11 14:28:51,1,6,8.23529411764706
2023-10-11 14:28:51,0,5,8.23529411764706
2023-10-11 14:28:52,1,6,8.076923076923077
2023-10-11 14:28:52,1,7,8.076923076923077
2023-10-11 14:28:53,1,8,7.9245283018867925
2023-10-11 14:28:53,1,9,7.9245283018867925
2023-10-11 14:28:53,0,8,7.9245283018867925
2023-10-11 14:28:54,1,9,7.777777777777778
2023-10-11 14:28:54,1,10,7.777777777777778
2023-10-11 14:28:55,1,11,7.636363636363637
2023-10-11 14:28:55,1,12,7.636363636363637
2023-10-11 14:28:55,1,13,7.636363636363637
2023-10-11 14:28:56,0,12,7.5
2023-10-11 14:28:56,1,13,7.5
2023-10-11 14:28:57,1,14,7.36842105263158
2023-10-11 14:28:57,1,15,7.36842105263158
2023-10-11 14:28:58,0,14,7.241379310344827
2023-10-11 14:28:58,1,15,7.241379310344827
2023-10-11 14:28:58,1,16,7.241379310344827
2023-10-11 14:28:59,1,17,7.118644067796611
2023-10-11 14:28:59,1,18,7.118644067796611
2023-10-11 14:29:00,0,17,0
2023-10-11 14:29:00,0,16,0
2023-10-11 14:29:01,0,15,420.0
2023-10-11 14:29:01,0,14,420.0
2023-10-11 14:29:02,0,13,210.0
2023-10-11 14:29:02,0,12,210.0
2023-10-11 14:29:03,1,13,140.0
2023-10-11 14:29:03,0,12,140.0
2023-10-11 14:29:04,0,11,105.0
2023-10-11 14:29:04,0,10,105.0
2023-10-11 14:29:04,0,9,105.0
2023-10-11 14:29:05,1,10,84.0
2023-10-11 14:29:05,1,11,84.0
2023-10-11 14:29:06,0,10,70.0
2023-10-11 14:29:06,0,9,70.0
2023-10-11 14:29:06,1,10,70.0
2023-10-11 14:29:07,1,11,60.0
2023-10-11 14:29:07,1,12,60.0
2023-10-11 14:29:08,1,13,52.5
2023-10-11 14:29:08,1,14,52.5
2023-10-11 14:29:09,1,15,46.66666666666667
2023-10-11 14:29:09,0,14,46.66666666666667
2023-10-11 14:29:10,1,15,42.0
2023-10-11 14:29:10,1,16,42.0
2023-10-11 14:29:10,0,15,42.0
2023-10-11 14:29:11,1,16,38.18181818181819
2023-10-11 14:29:11,1,17,38.18181818181819
2023-10-11 14:29:12,1,18,35.0
